titulo,dt_lancamento,genero,pais,n_semanas,publico,renda
A Bela Junie,2009-01-01,Ficção,França,49,17058,140344.93
Bolt Supercão,2009-01-01,Animação,Estados Unidos,27,1087649,8941187
Se Eu Fosse Você 2,2009-01-02,Ficção,Brasil,44,5787244,47624137
A Troca,2009-01-09,Ficção,Estados Unidos,14,272932,2503972
Alguém Que Me Ame De Verdade,2009-01-09,Ficção,Estados Unidos,14,21883,200923.61
Dois Em Um,2009-01-09,Ficção,França,34,4073,30246.05
O Dia Em Que A Terra Parou,2009-01-09,Ficção,Estados Unidos,14,1458321,12062074
O Grilo Feliz E Os Insetos Gigantes,2009-01-09,Animação,Brasil,68,370466,1952806.17
As Testemunhas,2009-01-16,Ficção,França,54,8725,65138.1
"Beijo Na Boca, Não!",2009-01-16,Ficção,França,14,9358,86642
Fundo Do Mar 3D,2009-01-16,Documentário,"Canadá, Estados Unidos",21,61294,1098545
Inútil,2009-01-16,Documentário,"China, Hong Kong",23,3473,31751.19
O Corajoso Ratinho Despereaux,2009-01-16,Animação,"Estados Unidos, Reino Unido",20,249227,1846456
O Curioso Caso De Benjamin Button,2009-01-16,Ficção,Estados Unidos,17,2083246,18691102
Quarentena,2009-01-16,Ficção,Estados Unidos,14,111691,911555
Titãs - A Vida Até Parece Uma Festa,2009-01-16,Documentário,Brasil,22,15211,144600.42
Austrália,2009-01-23,Ficção,Estados Unidos,14,312944,2739993
Novo Século Americano,2009-01-23,Documentário,Itália,5,1571,14053
Rumba,2009-01-23,Ficção,França,34,21940,195291.76
Surpresas Do Amor,2009-01-23,Ficção,Estados Unidos,14,257960,2184983.64
Um Faz De Conta Que Acontece,2009-01-23,Ficção,Estados Unidos,18,1005573,7497636
Um Taxi Para A Escuridão,2009-01-23,Documentário,Estados Unidos,6,1257,10061
Abba O Filme,2009-01-30,Documentário,"Austrália, Suécia",7,3488,19157.82
Barry & A Banda Das Minhocas,2009-01-30,Animação,Dinamarca,24,85311,632870.15
Foi Apenas Um Sonho,2009-01-30,Ficção,"Estados Unidos, Reino Unido",18,232098,2118382
Ninho Vazio,2009-01-30,Ficção,Argentina,40,36666,315153.22
Sim Senhor,2009-01-31,Ficção,Estados Unidos,19,1376092,11546965
Dúvida,2009-02-06,Ficção,Estados Unidos,17,164467,1564099
Noivas Em Guerra,2009-02-06,Ficção,Estados Unidos,12,443250,3730047
O Leitor,2009-02-06,Ficção,Estados Unidos,27,406634,3782859.92
Verônica,2009-02-06,Ficção,Brasil,24,103905,740059.02
Contratempo - Uma Valsa Da Dor,2009-02-13,Documentário,Brasil,16,2045,11098.75
Coraline E O Mundo Secreto,2009-02-13,Animação,Estados Unidos,23,304478,2869673
O Casamento De Rachel,2009-02-13,Ficção,Estados Unidos,26,76120,767241
O Lutador,2009-02-13,Ficção,Estados Unidos,19,111787,1047260.94
Operação Valquíria,2009-02-13,Ficção,Estados Unidos,13,1144728,9946310
Sexta-Feira 13: Bem-Vindo A Crystal Lake,2009-02-13,Ficção,Estados Unidos,14,267339,2253858
Perdido Pra Cachorro,2009-02-14,Ficção,Estados Unidos,17,160984,1217970
A Pantera Cor De Rosa 2,2009-02-20,Ficção,Estados Unidos,13,586245,4653545
Milk - A Voz Da Igualdade,2009-02-20,Ficção,Estados Unidos,20,212719,2110578
Rio Congelado,2009-02-20,Ficção,Estados Unidos,28,13184,106261
Um Hotel Bom Pra Cachorro,2009-02-20,Ficção,"Estados Unidos, Alemanha",18,510608,3865896
3 Macacos,2009-02-27,Ficção,Turquia,37,13278,128998.84
Força Policial,2009-02-27,Ficção,Estados Unidos,12,125586,1094176
Patativa Do Assaré - Ave Poesia,2009-03-02,Documentário,Brasil,15,2723,15193.15
Frost/Nixon,2009-03-06,Ficção,Estados Unidos,19,23965,266930
Glória Ao Cineasta,2009-03-06,Ficção,Japão,5,732,6693.5
O Menino Da Porteira,2009-03-06,Ficção,Brasil,37,669287,4567785
Quem Quer Ser Um Milionário?,2009-03-06,Ficção,Inglaterra,18,1379754,12860921.05
Vitus,2009-03-06,Ficção,Suíça,20,6030,48574.8
Watchmen - O Filme,2009-03-06,Ficção,Estados Unidos,13,539796,4630370
Entre Os Dedos,2009-03-07,Ficção,Brasil,16,624,3596.5
Bela Noite Para Voar,2009-03-13,Ficção,Brasil,24,30983,165133
Entre Os Muros Da Escola,2009-03-13,Ficção,França,38,127582,1096639.42
Jogo Entre Ladrões,2009-03-13,Ficção,Estados Unidos,10,264062,2354983.1
O Visitante,2009-03-13,Ficção,Estados Unidos,14,26086,245193.25
Palavra (En)Cantada,2009-03-13,Documentário,Brasil,28,32464,261289.89
Sex Drive: Rumo Ao Sexo,2009-03-13,Ficção,Estados Unidos,9,44548,336825.66000000003
Tô De Férias,2009-03-13,Animação,Alemanha,28,97311,727621.72
Dia Dos Namorados Macabro 3D,2009-03-14,Ficção,Estados Unidos,15,251429,2555728.19
Alma Perdida,2009-03-20,Ficção,Estados Unidos,16,219519,1809376
Gran Torino,2009-03-20,Ficção,Estados Unidos,24,348858,3446558
Lição De Amor,2009-03-20,Ficção,Itália,20,7451,59343.94
The Spirit - O Filme,2009-03-20,Ficção,Estados Unidos,15,102321,870408
"Vamos Subir, Leão",2009-03-20,Documentário,Brasil,1,0,0
Pagando Bem Que Mal Tem?,2009-03-21,Ficção,Estados Unidos,8,206277,1688575.44
Anabazys,2009-03-27,Documentário,Brasil,8,842,6164.5
Aventuras Do Surf Ii,2009-03-27,Documentário,Brasil,20,64017,476445
Che,2009-03-27,Ficção,Estados Unidos,27,160588,1443776.79
Ele Não Está Tão Afim,2009-03-27,Ficção,Estados Unidos,14,834552,7651193.86
Passageiros,2009-03-27,Ficção,Estados Unidos,11,120241,1003160.7999999999
Segredos Íntimos,2009-03-27,Ficção,Israel,13,14084,135520.2
Simplesmente Feliz,2009-03-27,Ficção,Inglaterra,22,59647,525441.53
Um Cara Muito Louco...Apaixonado,2009-03-27,Ficção,Inglaterra,8,21638,169898.91
O Fim Da Picada,2009-03-28,Ficção,Brasil,25,941,4901
Katyn,2009-04-03,Ficção,Polônia,13,12145,111172.96
Lanchonete Olympia,2009-04-03,Ficção,Estados Unidos,9,1038,8584
Monstros Vs Alienígenas,2009-04-03,Animação,Estados Unidos,25,1418995,13576987
